ashrae_number,name,family,composition,gwp100,gwp_basis,odp,safety_class,applications,alternatives,reg_category,regulatory_status,notes,sources,needs_verification
R-290,프로판,자연냉매(HC),,3,AR4,0,A3,상업용 냉동 쇼케이스; 히트펌프; 소형 에어컨; 산업 냉동,(자체가 최종 대체 후보),비대상,"키갈리·F-gas 규제 비대상. 단 강가연성(A3)으로 충전량 제한 및 방폭 요건(IEC 60335 계열, 국내 고압가스 안전기준) 적용.",저GWP 최종 지향점 중 하나. 안전설계가 도입 장벽.,IPCC-AR4; UNEP-ASHRAE,False
R-600a,이소부탄,자연냉매(HC),,3,AR4(통용값),0,A3,가정용 냉장고(현행 표준),(자체가 최종 대체 후보),비대상,규제 비대상. 가정용 냉장고에서 이미 글로벌 표준.,강가연성 — 충전량 소량 설계.,WIKI,True
R-1270,프로필렌(프로펜),자연냉매(HC),,2,AR4(통용값),0,A3,산업 냉동; 블렌드 성분,(자체가 최종 대체 후보),비대상,규제 비대상. 강가연성 요건 적용.,,WIKI,True
R-717,암모니아 (NH3),자연냉매,,0,AR4,0,B2L,산업용 대형 냉동·냉장(물류창고·식품); 흡수식,(자체가 최종 대체 후보),비대상,규제 비대상. 독성(B등급)으로 고압가스 안전관리·누출 감지 요건 엄격.,대용량 산업 냉동에서 에너지효율 우수.,UNEP-ASHRAE; WIKI,False
R-744,이산화탄소 (CO2),자연냉매,,1,AR4(기준물질),0,A1,상업 냉동(부스터 시스템); 히트펌프 급탕; 캐스케이드 저단; 데이터센터 냉각 검토,(자체가 최종 대체 후보),비대상,규제 비대상. GWP 기준물질(=1).,고압(초임계) 설계 필요 — 기존 설비 개조가 아닌 신규 시스템 설계로 접근.,UNEP-ASHRAE,False
R-718,물 (H2O),자연냉매,,0,AR4,0,A1,흡수식 냉동기; 특수 터보 칠러,(자체가 최종 대체 후보),비대상,규제 비대상.,,WIKI,False
R-1234yf,테트라플루오로프로펜 (HFO-1234yf),HFO,,<1,AR5/AR6,0,A2L,차량 에어컨(현행 표준); 저GWP 블렌드 성분(R-454·R-455 계열),"R-744(차량, 일부)",저GWP대체,"GWP 규제 비껴가나, PFAS 정의 포함 여부·대기 분해산물(TFA) 이슈로 유럽 중심 규제 리스크 논의 중.",장기 규제 안정성 평가 시 PFAS 리스크를 반드시 병기할 것.,UNEP-ASHRAE; EU-2024-573,False
R-1234ze(E),트랜스-테트라플루오로프로펜 (HFO-1234ze(E)),HFO,,<1,AR5/AR6,0,A2L,칠러(데이터센터 포함); 터보 냉동기; 블렌드 성분,R-1233zd(E)(저압 대안),저GWP대체,저GWP로 F-gas 대응에 유리. PFAS 논의 리스크는 R-1234yf와 동일 계열.,R-134a 칠러의 대표 저GWP 전환처.,UNEP-ASHRAE; EU-2024-573,False
R-1233zd(E),클로로트리플루오로프로펜 (HCFO-1233zd(E)),HCFO,,1,AR5(AR6≈3.7),0.0003,A1,대형 무급유 원심 칠러(데이터센터); 저압 칠러; 발포제,R-514A,저GWP대체,초저GWP·불연(A1)으로 데이터센터 대형 칠러 채택 확산. 미량 ODP는 사실상 무시 수준으로 평가. PFAS 논의 대상 계열.,불연 요구 + 저GWP를 동시 충족하는 드문 조합.,UNEP-ASHRAE,False
R-1336mzz(Z),헥사플루오로부텐 (HFO-1336mzz(Z)),HFO,,2,AR5,0,A1,고온 히트펌프; ORC(폐열발전); 저압 칠러,R-1233zd(E),저GWP대체,저GWP·불연. PFAS 논의 대상 계열.,,UNEP-ASHRAE,False
R-404A,R-404A (HFC 블렌드),HFC 블렌드,R-125/143a/134a (44.0/52.0/4.0),3922,AR4,0,A1,상업 냉동(슈퍼마켓); 운송 냉동; 중저온 냉동,R-448A; R-449A; R-455A(신규); R-744(신규 시스템),감축대상,고GWP(>2500)로 EU에서 신규 사용·정비용 공급 제한 선행. 키갈리 감축의 최우선 퇴출 후보.,상업 냉동 전환 상담의 최빈 대상.,IPCC-AR4; EU-2024-573,False
R-407C,R-407C (HFC 블렌드),HFC 블렌드,R-32/125/134a (23.0/25.0/52.0),1774,AR4,0,A1,R-22 대체 에어컨·칠러(개조),R-32; R-454B,감축대상,키갈리 대상. R-22 개조용 과도기 냉매로 신규 채택은 감소.,,IPCC-AR4,False
R-407F,R-407F (HFC 블렌드),HFC 블렌드,R-32/125/134a (30.0/30.0/40.0),1825,AR4,0,A1,R-404A 중간 대체(냉동 개조),R-448A; R-449A,감축대상,키갈리 대상. 과도기 개조용.,,IPCC-AR4; UNEP-ASHRAE,False
R-410A,R-410A (HFC 블렌드),HFC 블렌드,R-32/125 (50.0/50.0),2088,AR4,0,A1,에어컨(기존 표준); 히트펌프; 소형 칠러,R-32; R-454B; R-452B,감축대상,키갈리·EU F-gas 감축 대상. 신규 에어컨에서 R-32/R-454B로 세대 교체 진행 중.,설치 기반이 가장 큰 현행 냉매 — 전환 시나리오의 중심.,IPCC-AR4; UNEP-ASHRAE; EU-2024-573,False
R-448A,R-448A (HFC/HFO 블렌드),HFC/HFO 블렌드,R-32/125/1234yf/134a/1234ze(E) (26.0/26.0/20.0/21.0/7.0),1387,AR4,0,A1,R-404A 대체(상업 냉동 개조·신규),R-455A; R-744(장기),감축대상,키갈리 대상이나 R-404A 대비 GWP 약 65% 절감. A1 유지 개조용 주력.,,IPCC-AR4; UNEP-ASHRAE,False
R-449A,R-449A (HFC/HFO 블렌드),HFC/HFO 블렌드,R-32/125/1234yf/134a (24.3/24.7/25.3/25.7),1397,AR4,0,A1,R-404A 대체(상업 냉동 개조·신규),R-455A; R-744(장기),감축대상,R-448A와 동급 포지션.,,IPCC-AR4; UNEP-ASHRAE,False
R-452B,R-452B (HFC/HFO 블렌드),HFC/HFO 블렌드,R-32/125/1234yf (67.0/7.0/26.0),698,AR4,0,A2L,R-410A 대체(에어컨·히트펌프),R-454B; R-290(소형),감축대상,키갈리 대상이나 R-410A 대비 약 2/3 절감.,,IPCC-AR4; UNEP-ASHRAE,False
R-454B,R-454B (HFC/HFO 블렌드),HFC/HFO 블렌드,R-32/1234yf (68.9/31.1),466,AR4,0,A2L,신규 에어컨·히트펌프(R-410A 후속 주력),R-290(소형); R-454C,감축대상,미국 등에서 신규 유니터리 에어컨 주력 채택. R-410A 대비 GWP 약 78% 절감.,A2L 설치 기준(누출감지·환기) 적용.,IPCC-AR4; UNEP-ASHRAE,False
R-454C,R-454C (HFC/HFO 블렌드),HFC/HFO 블렌드,R-32/1234yf (21.5/78.5),148,AR4,0,A2L,상업 냉동; 히트펌프; 콘덴싱 유닛,R-290; R-744,저GWP대체,GWP<150으로 EU 장기 기준에도 부합하는 저GWP 블렌드.,,IPCC-AR4; UNEP-ASHRAE,False
R-455A,R-455A (HFC/HFO/CO2 블렌드),HFC/HFO 블렌드,R-744/32/1234yf (3.0/21.5/75.5),148,AR4(통용값),0,A2L,상업 냉동(쇼케이스·콘덴싱 유닛),R-290; R-744,저GWP대체,GWP<150 저GWP 블렌드로 R-404A 신규 대체 후보.,,UNEP-ASHRAE; WIKI,True
R-513A,R-513A (HFO/HFC 블렌드),HFO/HFC 블렌드,R-1234yf/134a (56.0/44.0),631,AR4(AR5≈573),0,A1,R-134a 칠러 과도기 대체(드롭인성); 냉장,R-1234ze(E); R-515B,감축대상,A1 유지하며 R-134a 대비 GWP 절반 이하. 과도기 성격.,,IPCC-AR4; UNEP-ASHRAE,False
R-514A,R-514A (HFO 블렌드),HFO 블렌드,R-1336mzz(Z)/1130(E) (74.7/25.3),2,AR5(통용값),0,B1,저압 원심 칠러(R-123 대체),R-1233zd(E),저GWP대체,초저GWP. 독성 B등급으로 기계실 안전 요건 적용.,,UNEP-ASHRAE,True
R-515B,R-515B (HFO/HFC 블렌드),HFO/HFC 블렌드,R-1234ze(E)/227ea (91.1/8.9),293,AR4(통용값),0,A1,칠러(불연 A1 요구처의 R-134a 대체),R-1234ze(E)(A2L 허용 시),저GWP대체,A1 유지 + 저GWP 조합으로 데이터센터 등 불연 요구 현장에 적합.,,UNEP-ASHRAE; WIKI,True
